Indicator,Indicator Type,Partner,Product categories,Reporter,year,amount
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2015,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1988,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1989,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1990,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1991,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1992,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1993,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1994,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,1999,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2009,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2010,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2015,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1989,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1990,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1991,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1992,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1993,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1994,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1999,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2009,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2010,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2015,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1988,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1989,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1990,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1991,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1992,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1993,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1994,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,1999,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1988,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1991,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1992,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2009,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2010,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2015,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1988,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1989,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1990,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1993,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1994,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1999,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2009,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2010,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2015,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1994,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1999,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2009,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2010,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2015,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2017,0
