Indicator,Indicator Type,Partner,Product categories,Reporter,year,amount
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2009,13476.04
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1999,13422.41
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1997,13370.05
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2002,13340.68
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2015,13299.33
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1998,13290.93
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2017,13145.75
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2004,12881.77
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2003,12820.29
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2016,12770.22
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2012,12611.73
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2000,12600.2
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2018,12369.31
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2009,12281.99
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1995,12256.84
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2001,12255.38
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2013,12144.19
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2002,12064.75
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2001,11729.05
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2018,11523.93
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2014,11396.04
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2008,11379.98
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2009,11363.67
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2007,11306.98
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2003,11131.5
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1991,10929.55
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1994,10921.61
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2015,10895.84
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2016,10872.75
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1994,10848.51
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2017,10757.14
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1995,10731.91
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2010,10513.32
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1997,10281.92
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2015,10197.01
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2008,10184.27
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1992,10125.28
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1996,10097.62
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2010,10079.07
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2015,9977.45
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2014,9943.29
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1993,9846.66
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2011,9844.79
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1990,9814.55
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2018,9552.81
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2012,9515.73
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2000,9413.28
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2006,9310.3
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2009,9303.74
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2007,9182.73
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1991,9144.35
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1990,9142.6
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1998,9111
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1999,9069.32
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2002,9062.53
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1989,9043.91
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1992,8947.91
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1993,8899.19
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1989,8837.37
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2009,8792.37
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1994,8777.47
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2016,8761.92
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1995,8722.93
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1999,8653.59
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2013,8453.7
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2006,8433.88
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2010,8430.74
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2007,8417.11
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1997,8366.56
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2005,8359.63
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2001,8344.98
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1998,8239.44
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,1988,8174.2
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2014,7995.34
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1989,7984.63
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1993,7977.47
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2007,7955.25
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2015,7946.61
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2016,7919.03
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1996,7858.63
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2006,7583.16
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2009,7467.44
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1992,7224.1
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1990,7151.76
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2005,7069.13
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,1988,7041.98
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2004,7009.49
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2005,6902.21
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2005,6866.77
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2004,6740.74
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2006,6738.63
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1991,6634.26
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,1988,6549.63
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2004,6444.98
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2000,6343.59
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2002,6308.65
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2001,6170.68
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,2003,6158.4
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2002,5431.9
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1996,5405.77
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2003,5307.66
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2003,5267.09
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1993,5242.56
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2000,5230.43
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2001,4925.11
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1990,4842.34
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2004,4796.86
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1992,4712.25
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1999,4536.71
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1997,4415.98
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1998,4397.41
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1997,4376.56
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1991,4372.27
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2002,4321.32
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1996,4219.44
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1989,4178.79
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2000,4174.79
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1999,4094.47
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1995,4037.32
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1997,3893.59
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1996,3890.33
